task,mean_delta,ci_lower,ci_upper
s2,0.03646646086536337,0.021010332718254032,0.05222203714479019
s3,0.0018451836038368811,-0.011722939726872111,0.014823387771178247
s6,0.00871962988382543,-0.008908890591021889,0.026738558701470995
