task,challenger_macro_f1,balanced_accuracy,minimum_class_recall,baseline_macro_f1,delta,mean_delta,ci_lower,ci_upper,folds_improved,clear_transfer_evidence,success_status,transfer_evidence_status
s2,0.5785783178635723,0.5804948591541843,0.22966424368293525,0.5917757621918929,-0.013197444328320596,0.03646646086536337,0.021010332718254032,0.05222203714479019,2,True,NOT_PREDICTABLE_ENOUGH,CLEAR_TRANSFER_EVIDENCE
s3,0.41661557803746474,0.4335070203928095,0.16896088635219067,0.3971869758657194,0.019428602171745357,0.0018451836038368811,-0.011722939726872111,0.014823387771178247,1,False,RESEARCH_ONLY,NO_CLEAR_TRANSFER_EVIDENCE
s6,0.24074143222394676,0.2690263507729896,0.04352941176470588,0.22627654455227184,0.01446488767167492,0.00871962988382543,-0.008908890591021889,0.026738558701470995,3,False,RESEARCH_ONLY,NO_CLEAR_TRANSFER_EVIDENCE
