task,fold,inner_or_outer,project,validation_start,rows_before,rows_after_label_filter,rows_before_cutoff,rows_after_cutoff,rows_after_exact_duplicate_purge,rows_after_normalized_duplicate_purge,max_timestamp_after_cutoff,cutoff_violations_after_filter,source_validation_overlap_after_purge
s3,3,inner_1,CDT,2007-03-21 20:51:32+00:00,22371,19705,19705,6134,6134,6134,2007-03-21 20:30:14+00:00,0,0
s3,3,inner_2,CDT,2008-06-10 18:02:48+00:00,22371,19705,19705,8598,8598,8598,2008-06-10 16:16:32+00:00,0,0
s2,1,outer,CDT,2007-03-21 20:51:32+00:00,22371,19705,19705,6134,6134,6134,2007-03-21 20:30:14+00:00,0,0
s2,1,inner_1,CDT,2006-02-24 21:14:22+00:00,22371,19705,19705,4968,4968,4968,2006-02-24 17:40:32+00:00,0,0
s2,1,inner_2,CDT,2006-10-10 17:41:17+00:00,22371,19705,19705,5598,5598,5598,2006-10-10 15:50:58+00:00,0,0
s2,2,outer,CDT,2008-06-10 18:02:48+00:00,22371,19705,19705,8598,8598,8598,2008-06-10 16:16:32+00:00,0,0
s2,2,inner_1,CDT,2006-10-10 17:41:17+00:00,22371,19705,19705,5598,5598,5598,2006-10-10 15:50:58+00:00,0,0
s2,2,inner_2,CDT,2007-07-20 06:28:17+00:00,22371,19705,19705,7120,7120,7120,2007-07-19 20:07:13+00:00,0,0
s2,3,outer,CDT,2010-05-11 09:41:58+00:00,22371,19705,19705,11444,11444,11444,2010-05-10 22:05:13+00:00,0,0
s2,3,inner_1,CDT,2007-03-21 20:51:32+00:00,22371,19705,19705,6134,6134,6134,2007-03-21 20:30:14+00:00,0,0
s2,3,inner_2,CDT,2008-06-10 18:02:48+00:00,22371,19705,19705,8598,8598,8598,2008-06-10 16:16:32+00:00,0,0
s6,1,outer,Equinox,2007-03-21 20:51:32+00:00,14559,13123,13123,1752,1752,1752,2007-03-21 19:02:09+00:00,0,0
s6,1,inner_1,Equinox,2006-02-24 21:14:22+00:00,14559,13123,13123,1086,1086,1086,2006-02-24 16:36:19+00:00,0,0
s6,1,inner_2,Equinox,2006-10-10 17:41:17+00:00,14559,13123,13123,1431,1431,1431,2006-10-10 16:47:25+00:00,0,0
s6,2,outer,Equinox,2008-06-10 18:02:48+00:00,14559,13123,13123,4522,4522,4522,2008-06-10 14:31:46+00:00,0,0
s6,2,inner_1,Equinox,2006-10-10 17:41:17+00:00,14559,13123,13123,1431,1431,1431,2006-10-10 16:47:25+00:00,0,0
s6,2,inner_2,Equinox,2007-07-20 06:28:17+00:00,14559,13123,13123,2128,2128,2128,2007-07-19 18:54:11+00:00,0,0
s6,3,outer,Equinox,2010-05-11 09:41:58+00:00,14559,13123,13123,8410,8410,8410,2010-05-11 02:58:31+00:00,0,0
s6,3,inner_1,Equinox,2007-03-21 20:51:32+00:00,14559,13123,13123,1752,1752,1752,2007-03-21 19:02:09+00:00,0,0
s6,3,inner_2,Equinox,2008-06-10 18:02:48+00:00,14559,13123,13123,4522,4522,4522,2008-06-10 14:31:46+00:00,0,0
s3,1,outer,Equinox,2007-03-21 20:51:32+00:00,14559,13123,13123,1752,1752,1752,2007-03-21 19:02:09+00:00,0,0
s3,1,inner_1,Equinox,2006-02-24 21:14:22+00:00,14559,13123,13123,1086,1086,1086,2006-02-24 16:36:19+00:00,0,0
s3,1,inner_2,Equinox,2006-10-10 17:41:17+00:00,14559,13123,13123,1431,1431,1431,2006-10-10 16:47:25+00:00,0,0
s3,2,outer,Equinox,2008-06-10 18:02:48+00:00,14559,13123,13123,4522,4522,4522,2008-06-10 14:31:46+00:00,0,0
s3,2,inner_1,Equinox,2006-10-10 17:41:17+00:00,14559,13123,13123,1431,1431,1431,2006-10-10 16:47:25+00:00,0,0
s3,2,inner_2,Equinox,2007-07-20 06:28:17+00:00,14559,13123,13123,2128,2128,2128,2007-07-19 18:54:11+00:00,0,0
s3,3,outer,Equinox,2010-05-11 09:41:58+00:00,14559,13123,13123,8410,8410,8410,2010-05-11 02:58:31+00:00,0,0
s3,3,inner_1,Equinox,2007-03-21 20:51:32+00:00,14559,13123,13123,1752,1752,1752,2007-03-21 19:02:09+00:00,0,0
s3,3,inner_2,Equinox,2008-06-10 18:02:48+00:00,14559,13123,13123,4522,4522,4522,2008-06-10 14:31:46+00:00,0,0
s2,1,outer,Equinox,2007-03-21 20:51:32+00:00,14559,13123,13123,1752,1752,1752,2007-03-21 19:02:09+00:00,0,0
s2,1,inner_1,Equinox,2006-02-24 21:14:22+00:00,14559,13123,13123,1086,1086,1086,2006-02-24 16:36:19+00:00,0,0
s2,1,inner_2,Equinox,2006-10-10 17:41:17+00:00,14559,13123,13123,1431,1431,1431,2006-10-10 16:47:25+00:00,0,0
s2,2,outer,Equinox,2008-06-10 18:02:48+00:00,14559,13123,13123,4522,4522,4522,2008-06-10 14:31:46+00:00,0,0
s2,2,inner_1,Equinox,2006-10-10 17:41:17+00:00,14559,13123,13123,1431,1431,1431,2006-10-10 16:47:25+00:00,0,0
s2,2,inner_2,Equinox,2007-07-20 06:28:17+00:00,14559,13123,13123,2128,2128,2128,2007-07-19 18:54:11+00:00,0,0
s2,3,outer,Equinox,2010-05-11 09:41:58+00:00,14559,13123,13123,8410,8410,8410,2010-05-11 02:58:31+00:00,0,0
s2,3,inner_1,Equinox,2007-03-21 20:51:32+00:00,14559,13123,13123,1752,1752,1752,2007-03-21 19:02:09+00:00,0,0
s2,3,inner_2,Equinox,2008-06-10 18:02:48+00:00,14559,13123,13123,4522,4522,4522,2008-06-10 14:31:46+00:00,0,0
s6,1,outer,JDT,2007-03-21 20:51:32+00:00,63266,53076,53076,30410,30410,30410,2007-03-21 19:18:11+00:00,0,0
s6,1,inner_1,JDT,2006-02-24 21:14:22+00:00,63266,53076,53076,26463,26463,26463,2006-02-24 19:47:51+00:00,0,0
s6,1,inner_2,JDT,2006-10-10 17:41:17+00:00,63266,53076,53076,29117,29117,29117,2006-10-10 17:09:38+00:00,0,0
s6,2,outer,JDT,2008-06-10 18:02:48+00:00,63266,53076,53076,33936,33936,33936,2008-06-10 17:33:00+00:00,0,0
s6,2,inner_1,JDT,2006-10-10 17:41:17+00:00,63266,53076,53076,29117,29117,29117,2006-10-10 17:09:38+00:00,0,0
s6,2,inner_2,JDT,2007-07-20 06:28:17+00:00,63266,53076,53076,31554,31554,31554,2007-07-19 22:48:17+00:00,0,0
s6,3,outer,JDT,2010-05-11 09:41:58+00:00,63266,53076,53076,37096,37096,37096,2010-05-11 02:08:52+00:00,0,0
s6,3,inner_1,JDT,2007-03-21 20:51:32+00:00,63266,53076,53076,30410,30410,30410,2007-03-21 19:18:11+00:00,0,0
s6,3,inner_2,JDT,2008-06-10 18:02:48+00:00,63266,53076,53076,33936,33936,33936,2008-06-10 17:33:00+00:00,0,0
s3,1,outer,JDT,2007-03-21 20:51:32+00:00,63266,53076,53076,30410,30410,30410,2007-03-21 19:18:11+00:00,0,0
s3,1,inner_1,JDT,2006-02-24 21:14:22+00:00,63266,53076,53076,26463,26463,26463,2006-02-24 19:47:51+00:00,0,0
s3,1,inner_2,JDT,2006-10-10 17:41:17+00:00,63266,53076,53076,29117,29117,29117,2006-10-10 17:09:38+00:00,0,0
s3,2,outer,JDT,2008-06-10 18:02:48+00:00,63266,53076,53076,33936,33936,33936,2008-06-10 17:33:00+00:00,0,0
s3,2,inner_1,JDT,2006-10-10 17:41:17+00:00,63266,53076,53076,29117,29117,29117,2006-10-10 17:09:38+00:00,0,0
s3,2,inner_2,JDT,2007-07-20 06:28:17+00:00,63266,53076,53076,31554,31554,31554,2007-07-19 22:48:17+00:00,0,0
s3,3,outer,JDT,2010-05-11 09:41:58+00:00,63266,53076,53076,37096,37096,37096,2010-05-11 02:08:52+00:00,0,0
s3,3,inner_1,JDT,2007-03-21 20:51:32+00:00,63266,53076,53076,30410,30410,30410,2007-03-21 19:18:11+00:00,0,0
s3,3,inner_2,JDT,2008-06-10 18:02:48+00:00,63266,53076,53076,33936,33936,33936,2008-06-10 17:33:00+00:00,0,0
s2,1,outer,JDT,2007-03-21 20:51:32+00:00,63266,53076,53076,30410,30410,30410,2007-03-21 19:18:11+00:00,0,0
s2,1,inner_1,JDT,2006-02-24 21:14:22+00:00,63266,53076,53076,26463,26463,26463,2006-02-24 19:47:51+00:00,0,0
s2,1,inner_2,JDT,2006-10-10 17:41:17+00:00,63266,53076,53076,29117,29117,29117,2006-10-10 17:09:38+00:00,0,0
s2,2,outer,JDT,2008-06-10 18:02:48+00:00,63266,53076,53076,33936,33936,33936,2008-06-10 17:33:00+00:00,0,0
s2,2,inner_1,JDT,2006-10-10 17:41:17+00:00,63266,53076,53076,29117,29117,29117,2006-10-10 17:09:38+00:00,0,0
s2,2,inner_2,JDT,2007-07-20 06:28:17+00:00,63266,53076,53076,31554,31554,31554,2007-07-19 22:48:17+00:00,0,0
s2,3,outer,JDT,2010-05-11 09:41:58+00:00,63266,53076,53076,37096,37096,37096,2010-05-11 02:08:52+00:00,0,0
s2,3,inner_1,JDT,2007-03-21 20:51:32+00:00,63266,53076,53076,30410,30410,30410,2007-03-21 19:18:11+00:00,0,0
s2,3,inner_2,JDT,2008-06-10 18:02:48+00:00,63266,53076,53076,33936,33936,33936,2008-06-10 17:33:00+00:00,0,0
s6,1,outer,Papyrus,2007-03-21 20:51:32+00:00,13253,10910,10910,0,0,0,,0,0
s6,1,inner_1,Papyrus,2006-02-24 21:14:22+00:00,13253,10910,10910,0,0,0,,0,0
s6,1,inner_2,Papyrus,2006-10-10 17:41:17+00:00,13253,10910,10910,0,0,0,,0,0
s6,2,outer,Papyrus,2008-06-10 18:02:48+00:00,13253,10910,10910,0,0,0,,0,0
